Movie_Name,Storyline
The Order,"In 1983, a series of increasingly violent bank robberies, counterfeiting operations and armored car heists frightened communities throughout the Pacific Northwest. As baffled law enforcement agents scrambled for answers, a lone FBI agent (Law), stationed in the sleepy, picturesque town of Coeur d'Alene, Idaho, came to believe the crimes were not the work of traditional, financially motivated criminals but a group of dangerous domestic terrorists, inspired by a radical, charismatic leader (Hoult), plotting a devastating war against the federal government of the United States."
Dark Matter,"A man is abducted into an alternate version of his life. Amid the mind-bending landscape of lives he could've lived, he embarks on a harrowing journey to get back to his true family and save them from a most terrifying foe: himself."
Your Monster,"After her life falls apart, soft-spoken actress Laura Franco finds her voice again when she meets a terrifying, yet weirdly charming Monster living in her closet. A romantic-comedy-horror film about falling in love with your inner rage."
Nr. 24,"Young apprentice Gunnar Sønsteby from Rjukan decides to resist Nazi-Germany on the day of the invasion to later become the leader of the ""Oslo-gang"" carrying out countless daring acts of sabotage making him Norway's greatest war hero."
The Count of Monte Cristo,"Edmond Dantes, a sailor falsely accused of treason, is imprisoned in the Château d'If off Marseille. After escaping, and adopting the identity of the Count of Monte Cristo, he plans revenge against those who wrongly accused him."
St. Denis Medical,"It follows an underfunded, understaffed hospital where the doctors and nurses try their best to treat patients while maintaining their own sanity."
My Old Ass,"A mushroom trip brings free-spirited Elliott face-to-face with her 39-year-old self. But when Elliott's ""old ass"" delivers warnings to her younger self, Elliott realizes she has to rethink everything about her family, life and love."
Wild Cards,A spirited con woman and a demoted by-the-book detective are given the chance to redeem themselves. The catch? They must find a way to work together each using their unique skills to solve crimes.
You Gotta Believe,"A Little League baseball team of misfits dedicates their season to a player's dying father. In doing so, they accomplish the impossible by reaching the World Series finals in a game that became an ESPN instant classic."
Beetlejuice Beetlejuice,"After an unexpected family tragedy, three generations of the Deetz family return home to Winter River. Still haunted by Beetlejuice, Lydia's life is turned upside down when her rebellious teenage daughter, Astrid, discovers the mysterious model of the town in the attic and the portal to the Afterlife is accidentally opened. With trouble brewing in both realms, it's only a matter of time until someone says Beetlejuice's name three times and the mischievous demon returns to unleash his very own brand of mayhem. —olisilumea"
Nobody Wants This,An agnostic sex podcaster and a newly single rabbi fall in love; discovering if their relationship survive their wildly different lives and meddling families.
Say Nothing,"The shocking disappearance of Jean McConville, a single mother of ten who was abducted from her home in 1972 and never seen alive again. But McConville was only one of many others who became known collectively as The Disappeared. Through the eyes of various IRA members, including sisters Dolours and Marian Price, young women who transformed into magnetic symbols of radical politics, Brendan Hughes, a tight-lipped but conflicted military strategist, and Gerry Adams, a savvy political operator who would go on to negotiate peace but ultimately deny his involvement with the IRA, Say Nothing unpacks the extremes some people will go to within a civil rights movement as they pursue their ideals, the mystery surrounding The Disappeared, the cost of silence, and the way society mends or doesn't after a long and bloody conflict."
The Damned,"Eva, a 19th-century widow is tasked with making an impossible choice when, in the middle of an especially cruel winter, a ship sinks off the coast of her isolated fishing post. Eva and her crew must choose to either rescue the shipwrecked or survive the winter with their last remaining food. Facing the consequences of their choice and tormented by their guilt, the inhabitants wrestle with a mounting sense of dread and begin to believe they are all being punished for their choices. —Horror Brains"
The Ministry of Ungentlemanly Warfare,"Billed as a true story about a secret British World War II organization; the Special Operations Executive. Founded by Winston Churchill, their irregular warfare against the Germans helped to change the course of the war, and gave birth to modern black operations."
Supersex,"Siffredi's family, his origins, his relationship and the context that led him to embark on his path in pornography and accept that the demon in his body is compatible with love."
Joker: Folie à Deux,"Arthur Fleck, now incarcerated at Arkham State Hospital, who encounters Harleen Quinzel, a fellow patient who becomes dangerously obsessed with his Joker persona. Their shared psychosis fuels a destructive and increasingly chaotic relationship, blurring the lines between reality and fantasy. The film delves deeper into Arthur's mental state, exploring the complexities of his condition and the enduring power of his iconic villainous persona. —Adrian Serpa"
Megalopolis,"Cesar Catalina is head of the Development Authority of New Rome. A master architect and city planner, he has a grand, Utopian vision for New Rome - Megalopolis. However, his vision and methods see him fall foul of the city's major, Frank Cicero, resulting in a bitter feud between the two. The major is not the only person Catalina needs to worry about: seeing an opportunity, Catalina's cousin undermines him at every turn in his own bid for power. —grantss"
The Perfect Couple,"It's Nantucket wedding season, also known as summer; the sight of a bride racing down Main Street is as common as the sun setting at Madaket Beach. The Sacks-Winbury wedding promises to be an event to remember: the groom's wealthy parents have spared no expense to host a lavish ceremony at their oceanfront estate. But it will be memorable for all the wrong reasons after tragedy strikes: a body is discovered in Nantucket Harbor just hours before the ceremony--and everyone in the wedding party is suddenly a suspect. As the Chief of Police interviews the bride, the groom, the groom's famous mystery-novelist mother, and even a member of his own family, he discovers that every wedding is a minefield--and no couple is perfect."
Small Things Like These,In 1985 devoted father Bill Furlong discovers disturbing secrets kept by the local convent and uncovers shocking truths of his own.
Parthenope,Parthenope is a woman who bears the name of her city. Is she a siren or a myth?
One Hundred Years of Solitude,"Married against their parents' wishes, cousins José Arcadio Buendía and Úrsula Iguarán leave their village behind and embark on a long journey in search of a new home. Accompanied by friends and adventurers, their journey culminates with the founding of a utopian town on the banks of a river of prehistoric stones that they baptize Macondo. Several generations of the Buendía lineage will mark the future of this mythical town, tormented by madness, impossible loves, a bloody and absurd war, and the fear of a terrible curse that condemns them, without hope, to one hundred years of solitude."
Presumed Innocent,"Inspired by Scott Turow's beloved courtroom thriller, Presumed Innocent is the story of a horrific murder that upends the Chicago Prosecuting Attorneys' office when one of its own is suspected of the crime. Multi-Emmy Award winner Kelley reimagines Presumed Innocent, exploring obsession, sex, politics, and the power and limits of love, as the accused fights to hold his family and marriage together. —brianfabulous"
The Madness,Media pundit Muncie Daniels must fight for his innocence and his life after he stumbles upon a murder deep in the Poconos.
The Return,"After 20 years Odysseus finally returns to Ithaca, where he finds his wife held prisoner by suitors vying to be king and his son facing death at their hands. To win back his family and all he has lost, Odysseus must rediscover his strength."
Cross,"Series adaptation of James Patterson novels about the complicated and brilliant detective, Alex Cross."
NCIS: Origins,Follows a young Leroy Jethro Gibbs as he starts his career as part of the Naval Investigative Service operating out of Camp Pendleton.
The Seed of the Sacred Fig,"Investigating judge Iman grapples with paranoia amid political unrest in Tehran. When his gun vanishes, he suspects his wife and daughters, imposing draconian measures that strain family ties as societal rules crumble."
Kinds of Kindness,"KINDS OF KINDNESS is a triptych fable, following a man without choice who tries to take control of his own life; a policeman who is alarmed that his wife who was missing-at-sea has returned and seems a different person; and a woman determined to find a specific someone with a special ability, who is destined to become a prodigious spiritual leader. —Searchlight Pictures"
Borderlands,"Lilith (Blanchett), an infamous bounty hunter with a mysterious past, reluctantly returns to her home, Pandora, the most chaotic planet in the galaxy. Her mission is to find the missing daughter of Atlas (Ramírez), the universe's most powerful S.O.B. Lilith forms an unexpected alliance with a ragtag team of misfits - Roland (Hart), a seasoned mercenary on a mission; Tiny Tina (Greenblatt), a feral preteen demolitionist; Krieg (Munteanu), Tina's musclebound protector; Tannis (Curtis), the oddball scientist who's seen it all; and Claptrap (Black), a wiseass robot. Together, these unlikely heroes must battle an alien species and dangerous bandits to uncover one of Pandora's most explosive secrets. The fate of the universe could be in their hands - but they'll be fighting for something more: each other. —Lionsgate"
Queen of the Ring,"In a time when pro wrestling for women was illegal all over the United States, a small town single mother embraces the danger as she dominates America's most masculine sport and becomes the first million dollar female athlete in history."
Homestead,"A nuclear bomb is detonated in Los Angeles, and the nation devolves into unprecedented chaos. Ex-Green Beret Jeff Eriksson and his family escape to The Homestead, an eccentric prepper's fortress nestled in the mountains. As violent threats and apocalyptic conditions creep toward their borders, the residents of The Homestead are left to wonder: how long can a group of people resist both the dangers of human nature and the bloodshed at their doorstep?"
Terrifier 3,"Five years after surviving Art the Clown's Halloween massacre, Sienna and Jonathan are still struggling to rebuild their shattered lives. As the holiday season approaches, they try to embrace the Christmas spirit and leave the horrors of the past behind. But just when they think they're safe, Art returns, determined to turn their holiday cheer into a new nightmare. The festive season quickly unravels as Art unleashes his twisted brand of terror, proving that no holiday is safe."
Dandadan,"When Momo and Okarun's beliefs clash, they're thrown into a world of ghosts, aliens and awakened powers."
Inside Out 2,"Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions. Joy, Sadness, Anger, Fear and Disgust, who've long been running a successful operation by all accounts, aren't sure how to feel when Anxiety shows up. And it looks like she's not alone. —olisilumea"
Trap,"In M. Night Shyamalan's latest outing, everyone in a large city is in a frenzy. Why? That's because they're up and ready to watch a concert performed by famous pop star Lady Raven. Two of her fans, a man named Cooper and his daughter Riley, attend the concert with high spirits, but things slowly begin to change their tune. Amongst the screams of adoration and sounds of applause, the concert itself has a hidden identity: a front to fish out an infamous serial killer known as The Butcher. With security cameras rigged, armies of policemen with weapons at the ready, and police vehicles surrounding the venue, will anyone survive their concert experience or is there more to The Butcher than meets the eye? —Affan Jamsari"
Abigail,"After a group of would-be criminals kidnap the 12-year-old ballerina daughter of a powerful underworld figure, all they have to do to collect a $50 million ransom is watch the girl overnight. In an isolated mansion, the captors start to dwindle, one by one, and they discover, to their mounting horror, that they're locked inside with no normal little girl. —Abigail movie"
Wallace & Gromit: Vengeance Most Fowl,"Gromit's concern that Wallace has become over-dependent on his inventions proves justified, when Wallace invents a ""smart gnome"" that seems to develop a mind of its own. As events spiral out of control, it falls to Gromit to put aside his qualms and battle sinister forces - or Wallace may never be able to invent again."
The Lord of the Rings: The War of the Rohirrim,"Set 183 years before the events chronicled in the original trilogy of films, it tells the fate of the House of Helm Hammerhand, the legendary King of Rohan. A sudden attack by Wulf, a clever and ruthless lord of Rohan, with dubious ancestry, having many ties to Dunland, he seeks vengeance for the death of his father, forces Helm and his people to make a daring last stand in the ancient stronghold of the Hornburg-a mighty fortress that will later come to be known as Helm's Deep. Finding herself in an increasingly desperate situation, Héra, the daughter of Helm, must summon the will to lead the resistance against a deadly enemy intent on their total destruction. —Warner Bros. Pictures"
The Beekeeper,"Adam Clay is a beekeeper, but someone very important to him is scammed and driven to harm. However, what these power and money hungry scammers don't know, is that Clay is an agent in a classified program called Beekeepers, and they underestimate how much of a threat he is. Adam sets out on a quest of vengeance, where he hunts and kills those responsible for the incident."
Bad Boys: Ride or Die,"When their late police captain gets linked to drug cartels, wisecracking Miami cops Mike Lowrey and Marcus Burnett embark on a dangerous mission to clear his name."
Eden,Follows a group of people fueled by a profound desire for change; in order to turn their back to society they leave everything behind and set their futures on the harsh landscape of the Galapagos.
Red One,"After Santa Claus -- Code Name: RED ONE -- is kidnapped, the North Pole's Head of Security (Dwayne Johnson) must team up with the world's most infamous bounty hunter and notorious hacker (Chris Evans) in a globe-trotting, action-packed mission to save Christmas. —Official synopsis"
Elevation,A single father and two women venture from the safety of their homes to face monstrous creatures to save the life of a young boy.
Wolfs,"A professional fixer is hired to cover up a high-profile crime. But when a second fixer shows up and the two ""lone wolves"" are forced to work together, they find their night spiraling out of control in ways that neither one of them expected."
Sweetpea,The girl everyone overlooks might just be able to get away with murder.
Lucky Baskhar,A cash-strapped cashier working at a bank embarks on a risky investment scheme and soon gets drawn into the murky world of money laundering.
Bad Monkey,"Bad Monkey tells the story of Andrew Yancy (played by Vaughn), a one-time detective demoted to restaurant inspector in Southern Florida. A severed arm found by a tourist out fishing pulls Yancy into the world of greed and corruption that decimates the land and environment in both Florida and the Bahamas. And yes, there's a monkey. —brianfabulous"
Fly Me to the Moon,"Starring Scarlett Johansson and Channing Tatum, Fly Me To The Moon is a sharp, stylish romantic comedy set against the high-stakes backdrop of NASA's historic Apollo 11 moon landing. Brought in to fix NASA's public image, sparks fly in all directions as marketing maven Kelly Jones (Johansson) wreaks havoc on launch director Cole Davis's (Tatum) already difficult task. When the White House deems the mission too important to fail, the countdown truly begins. —olisilumea"
The Walking Dead: The Ones Who Live,"The love story between Rick and Michonne. Changed by a world that is constantly changing, will they find themselves in a war against the living or will they discover that they too are The Walking Dead?"
Rebel Ridge,An ex Marine on his way to bail out his cousin from jail finds himself pushed against the wall by a high handed and corrupt chief of police. He then has no option but to confront the cop and despite strong resistance he fights his way out to complete his mission. —Madan Marwah
Masters of the Air,"During World War II, U.S. Army Air Force airmen risk their lives flying B-17 ""Flying Fortress"" heavy bombers from England to destroy Germany's ability to continue the war with the 100th Bomb Group, a brotherhood forged by courage, loss, and triumph. —ETO History Buff"
A Quiet Place: Day One,"After the events and revelations of 'A Quiet Place' and 'A Quiet Place: Part 2' it is time to go back to 'Day One'. Following Sam (Lupita Nyong'o) as she's on a group trip in New York City, everything is going fine, until the invasion that sends the world into silence begins. Can the city stay quiet and can Sam and Eric (Joseph Quin), a new unlikely friend, make it somewhere safe? But no matter what happens, don't make a sound and you might just find out what happens in 'A Quiet Place: Day One'. —MarvelTennant"
Whiskey on the Rocks,"Whiskey on the Rocks is an alternative take on what truly happened during the dramatic days at the turn of the month in October and November 1981, when the Soviet submarine U-137 ran aground in the Karlskrona archipelago, just a stone throw away from Swedens largest marine base. Never before has the world been closer to full-scale global conflict and all responsibility now rests on the shoulders of one man, Sweden's Prime Minister Thorbjörn Fälldin. —SkyVerse"
Earth Abides,"After months of isolation, Isherwood ""Ish"" Williams, learns that most of the world has fallen to a mysterious illness. Yet, despite his instincts to further isolate, Ish leads the charge to develop a new civilization."
Agatha All Along,"When a new series of tragedies strike the city of Westview, the infamous Agatha Harkness finds herself down and out of power when a suspicious goth teen helps break her free from a distorted spell. Her interest is piqued when he begs her to take him on the legendary Witches' Road, a magical gauntlet of trials that, if survived, rewards a witch with what they're missing. Together, Agatha and this mysterious teen pull together a desperate coven, and set off down, down, down The Road."
IF,"Bea, a 12-year-old girl, moves into her grandmother's apartment in New York while her father undergoes heart surgery. She discovers a hidden world of imaginary friends, or IFs, and embarks on a journey to help them reunite with their original children, including herself. Through this magical adventure, Bea learns the power of imagination, the importance of family, and the healing nature of friendship. —Oscar Serpa"
The Acolyte,"An investigation into a shocking crime spree pits a respected Jedi Master against a dangerous warrior from his past. As more clues emerge, they travel down a dark path where sinister forces reveal all is not what it seems…"
MaXXXine,"Los Angeles, 1985. With the elusive Night Stalker's killing spree gripping the city by fear, fiercely ambitious adult film star Maxine Minx nails a make-or-break audition in the glitzy movie capital of America. But just as her star begins to rise, six years after surviving the merciless massacre in X (2022), a shady private detective threatens to snatch away Maxine's precious ticket to mainstream stardom. Now, the bloody stains of a dark past scream for closure. Can the televangelist's daughter secure her place in the spotlight, or will Maxine become a sad statistic along with Hollywood's every other dead starlet? —Nick Riganas"
Kingdom of the Planet of the Apes,"The new Apes movie is set many years after the conclusion of 2017's War for the Planet of the Apes. Many apes societies have grown from when the Moses-like Caesar brought his people to an oasis, while humans have been reduced to a feral-like existence. Some ape groups have never heard of Caesar, while others have contorted his teaching to build burgeoning empires. In this setting, one ape leader begins to enslave other groups to find human technology, while another ape, who watched his clan be taken, embarks on a journey to find freedom. A young human woman becomes key to the latter's quest, although she has plans of her own."
One Day,"It's 1988, and Dexter Mayhew and Emma Morley have only just met. They both know that the next day, after college graduation, they must go their separate ways. But after only one day together, they cannot stop thinking about one another. As the years go by, Dex and Em begin to lead separate lives very different from the people they once dreamed they'd become. And yet, unable to let go of that special something that grabbed onto them that first night, an extraordinary relationship develops between the two. Over 20 years, snapshots of that relationship are revealed on the same day, July 15th, of each year. Dex and Em face squabbles and fights, hopes and missed opportunities, laughter and tears. And, as the true meaning of this one crucial day is revealed, they must come to grips with the nature of love and life itself."
Love Lies Bleeding,"From Director Rose Glass comes an electric new love story. Reclusive gym manager Lou falls hard for Jackie, an ambitious bodybuilder headed through town to Vegas in pursuit of her dream. But their love ignites violence, pulling them deep into the web of Lou's criminal family. —A24 Films"
Emmanuelle,"In search of a lost pleasure, Emmanuelle travels alone to Hong Kong on a business mission. In the vibrant and sensual global city, she indulges in intense encounters and new experiences."
It's What's Inside,"A group of friends gather for a pre-wedding party that descends into an existential nightmare when an estranged friend arrives with a mysterious game that awakens long-hidden secrets, desires and grudges."
Transformers One,"The untold origin story of Optimus Prime and Megatron, better known as sworn enemies, but who once were friends bonded like brothers who changed the fate of Cybertron forever."
I Saw the TV Glow,"Teenager Owen is just trying to make it through life in the suburbs, when his classmate introduces him to a mysterious late-night TV show-one which conveys a vision of a supernatural world beneath their own. In the pale glow of the television, Owen's view of reality begins to crack."
Kaos,"A darkly-comedic and contemporary reimagining of Greek mythology that explores themes of gender politics, power, and life in the underworld. Zeus has a wrinkle. He's worried it might mean the end of the world and it might. Because on earth, six humans unaware of their importance or their connection to one another learn that they are component parts of an ancient prophecy. Will they discover the truth about the gods and what they're doing to humans? And if they do, will they be able to stop them?"
Despicable Me 4,"Gru and Lucy are overjoyed as they welcome their newest family member, Gru Jr. However, their happiness is short-lived when a new villain, the cunning Maxime Le Mal, emerges. With their family in danger, Gru and his team must utilize their wit and skills to outsmart the villain and protect their loved ones. —Oscar Serpa"
"Oh, Canada","Leonard Fife, one of sixty thousand draft evaders and deserters who fled to Canada to avoid serving in Vietnam, shares all his secrets to de-mythologize his mythologized life."
Godzilla x Kong: The New Empire,"The new installment in the Monsterverse puts the mighty Kong and the fearsome Godzilla against a colossal deadly threat hidden within our world that threatens the existence of their species and our very own, as well as diving deep into the mysteries of Skull Island and beyond. Delving straight into the origins of Hollow Earth, this film will explore the ancient Titan battle that brought man and monster together forever."
Love Me,A postapocalyptic romance in which a buoy and a satellite meet online and fall in love after the end of human civilization.
Memoir of a Snail,"A bittersweet memoir of a melancholic woman called Grace Pudel - a hoarder of snails, romance novels, and guinea pigs."
Get Away,A family's vacation to a remote getaway takes an unexpected turn when they discover the island they're on is inhabited by a serial killer.
Baby Reindeer,"Inspired by a true story, the hit 2019 Edinburgh Fringe one-man stage-play Baby Reindeer follows the writer and performer Donny Dunn's warped relationship with his female stalker and the impact it has on him as he is ultimately forced to face a deep, dark buried trauma."
Werewolves,Two scientists try to stop a mutation that turns people into werewolves after being touched by a super-moon the year before.
Rescue: HI-Surf,"Follows the dedicated, heroic and adrenaline-seeking lifeguards of the North Shore of O'ahu, as they save people's lives in the difficult and often life-threatening conditions of Hawaii's Seven Mile Miracle."
La Palma,"A Norwegian family that checks into a hotel in La Palma. But when a young researcher discovers alarming signs from the volcano located in the center of the holiday paradise, the mood quickly turns chaotic when it is feared that a volcanic eruption will trigger the world's largest tsunami."
The Fire Inside,"The story of Claressa 'T-Rex' Shields, a boxer from Flint, Michigan who trained to become the first woman in her country's history to win an Olympic gold medal in the sport."
All We Imagine as Light,"In Mumbai, Nurse Prabha's routine is troubled when she receives an unexpected gift from her estranged husband. Her younger roommate, Anu, tries in vain to find a spot in the city to be intimate with her boyfriend. A trip to a beach town allows them to find a space for their desires to manifest. —Production"
Hard Truths,"Pansy is a woman tormented by anger and depression, hypersensitive to the slightest possible offence and ever ready to fly off the handle. She criticises her husband and their adult son so relentlessly that neither bothers to argue with her. She picks fights with strangers and sales clerks and enumerates the world's countless flaws to anyone who will listen, especially her cheerful sister Chantal, who, despite their clashing temperaments, might be the only person still capable of sympathising with her."
The Crow,"Soulmates Eric (Skarsgård) and Shelly (FKA twigs) are brutally murdered when the demons of Shelly's dark past catch up with them. Given the chance to save his true love by sacrificing himself, Eric sets out to seek merciless revenge on their killers, traversing the worlds of the living and the dead to put the wrong things right in this modern re-imagining of the 1994 cult classic."
Protection,Follows a witness protection officer who finds herself at the center of a breach; compromised by an extramarital romance with a coworker; but resolute in her resolve to fight back and unearth the real cause of corruption within her unit.
Snack Shack,"Nebraska City, 1991, two best friends get the chance to run the swimming pool snack shack, that later comes to be the perfect scenario for transgression, fun, personal discovery and romance."
Oddity,"Dani Odello-Timmis, a psychiatrist's wife, is brutally murdered in her newly acquired country house. Her twin sister, Darcy, a clairvoyant, investigates the crime, uncovering a sinister plot involving her sister's husband, Ted. Darcy's pursuit of truth leads to a terrifying confrontation with the dark forces at play, ultimately resulting in a shocking and tragic conclusion. —Wildcard Distribution"
Kneecap,"Kneecap is set in West Belfast in 2019. Fate brings together disillusioned music teacher JJ with self-confessed 'low life scum' Naoise and Liam Og, changing the sound of Irish music forever. Under the name Kneecap, their band begins moulding the language to fit their tough, anarchic, hedonistic lives. A language encumbered with forty words for stone now has one for stoned. But to get their voices heard the trio must overcome police, paramilitaries and politicians as the future of the Irish language erupts into the public arena - with them at the centre. Yet their worst enemies are often themselves, as family and relationship pressures threaten their dreams, and their illegal exploits draw condemnation from all sides. —Hot Press"
Eric,"When Edgar, a young boy goes missing in 1980s Manhattan, his grief-stricken father Vincent, a puppeteer on America's leading kids' TV show, finds solace through his friendship with Eric, the monster that lives under Edgar's bed. In his quest to find the truth to Edgar's disappearance, Vincent is forced into the dark shadows of a city rife with corruption to discover that the real monsters live much closer to home. Set against the backdrop of the 1980s AIDS epidemic, Detective Ledroit, tasked to uncover internal corruption in the NYPD, finds himself drawn into the search for Edgar, while privately coming to terms with secrets of his own."
Ripley,"1961. Tom Ripley, a small-time fraudster, is hired by millionaire Herbert Greenleaf to visit his son Dickie in Italy and bring him back to New York. Dickie has been squandering his inheritance on lavish, unproductive living and Greenleaf believes that Ripley, being a friend of his, can convince him to straighten up and come home. Ripley goes to Italy but has other plans in mind. —grantss"
Distant,"It follows an asteroid miner who, after crash-landing on an alien planet, must make his way across the harsh terrain, running out of oxygen, hunted by strange creatures, to the only other survivor."
Fool Me Once,"Maya Stern is trying to come to terms with the brutal murder of her husband Joe. When she installs a nanny-cam to keep an eye on her young daughter, she is shocked to see a man she recognizes in her house: Her husband, whom she thought was dead. Detective Sergeant Sami Kierce leads the homicide investigation into Joe's death while grappling with his own secrets. Meanwhile, Maya's niece and nephew, Abby and Daniel, are trying to find the truth about their mother's murder several months earlier. Are the two cases connected?"
Laid,Men who dated the same woman are dying in unusual ways. She must come to terms with her complicated past.
Trolösa,"FAITHLESS explores the relationship between love and passion. When renowned director David Howard, 73, reunites with his former great love, actress Marianne Vogler, 75, they are confronted with the painful consequences of their previous affair - not only for themselves, but for their families. Forty years prior, they secretly fall in love, as Marianne is married to David's best friend Markus."
Murder in a Small Town,"Detective Karl Alberg comes to Gibsons at a moment of change and upheaval - in his own life and also in the small, seaside community. Now Alberg and his team - his brilliant protégé Edwina Yen, old-hand Sid Sokolowski, and roguish rookie Andy Kendrick - face an array of unexpected challenges: secrets stir just beneath the beauty of the small town's surface. Recently divorced, Alberg finds himself falling for Cassandra Lee, a striking librarian whose deep ties in the community complicate both his role as Chief of Police and a tricky relationship with his teenage daughter, who has followed him across the country. Despite these challenges, Alberg and Cassandra embark on a quirky and heartfelt mid-life love story that forms the heart of the series."
The Watchers,"This forest isn't charted on any map. Every car breaks down at its treeline. Mina's is no different. Left stranded, she is forced into the dark woodland only to find a woman shouting, urging Mina to run to a concrete bunker. As the door slams behind her, the building is besieged by screams. Mina finds herself in a room with a wall of glass, and an electric light that activates at nightfall, when the Watchers come above ground. These creatures emerge to observe their captive humans and terrible things happen to anyone who doesn't reach the bunker in time."
Bird,"Bailey lives with her brother Hunter and her father Bug, who raises them alone in a squat in northern Kent. Bug doesn't have much time to devote to them. Bailey looks for attention and adventure elsewhere."
Culpa Tuya,"Despite their parents' efforts to separate them, Noah and Nick's love seems unbreakable. However, work and college open their lives to new relationships."
The Killer,"The kinetic action thriller follows Zee, a mysterious and infamous assassin known, and feared, in the Parisian underworld as the Queen of the Dead. But when, during an assignment from her shadowy mentor and handler, Zee refuses to kill a blinded young woman in a Paris nightclub, the decision will disintegrate Zee's alliances, attract the attention of a savvy police investigator and plunge her into a sinister criminal conspiracy that will set her on a collision course with her own past."
Caddo Lake,"In Louisiana, near the border of Texas, the mother of the young man Paris has a seizure and falls off a bridge while driving her car with her son. He saves himself but is not able to rescue his mother that disappears in Caddo Lake. In a house near the lake, the rebel teenager Ellie lives with her mother Celeste, her stepfather Daniel and her eight-year-old stepsister Anna. Ellie has arguments with her mother because of her father that she never knew and questions whether he really died. When Anna disappears in Caddo Lake, Sheriff Mark Taylor organizes a search party to look for her in the lake. Meanwhile Paris is researching why his mother had seizures when the water level is low in the lake. Ellie decides to look for Anna in the lake and finds a mystery in the lake. —Claudio Carvalho, Rio de Janeiro, Brazil"
Sugar Baby,"An enterprising Sugar Baby is offered $30,000 to move in with her Sugar Daddy for the week, but soon discovers the sinister secrets trapped within his home."
Blitz,The stories of a group of Londoners during the German bombing campaign of the British capital during World War II.
Brilliant Minds,"Dr. Oliver Wolf, a gifted neurologist, applies his unconventional approach to treating puzzling psychological cases."
The Tattooist of Auschwitz,"Based on the eponymously entitled novel, this is the powerful real-life story of Lale Sokolov, a Jewish prisoner who was tasked with tattooing ID numbers on prisoners' arms in the Auschwitz-Birkenau concentration camp during World War Two."
Cuckoo,"Reluctantly, 17-year-old Gretchen leaves her American home to live with her father, who has just moved into a resort in the German Alps with his new family. Arriving at their future residence, they are greeted by Mr. König, her father's boss, who takes an inexplicable interest in Gretchen's mute half-sister Alma. Something doesn't seem right in this tranquil vacation paradise. Gretchen is plagued by strange noises and bloody visions until she discovers a shocking secret that also concerns her own family. —brianfabulous"
Madame Web,"In a switch from the typical genre, Madame Web tells the standalone origin story of one of Marvel publishing's most enigmatic heroines. The suspense-driven thriller stars Dakota Johnson as Cassandra Webb, a paramedic in Manhattan who develops the power to see the future... and realizes she can use that insight to change it. Forced to confront revelations about her past, she forges a relationship with three young women bound for powerful destinies...if they can all survive a deadly present. —Sony Pictures"
Goodrich,"Andy Goodrich's (Michael Keaton) life is upended when his wife and mother of their nine-year-old twins enters a 90-day rehab program, leaving him on his own with their young kids. Thrust into the world of modern parenthood, Goodrich leans on his daughter from his first marriage, Grace (Mila Kunis), as he ultimately evolves into the father Grace always wanted. —Ketchup Entertainment"
Twilight of the Warriors: Walled In,"Follows troubled youth Chan Lok-kwun as he accidentally enters the Walled City, discovers the order amidst its chaos, and learns important life lessons along the way. In the Walled City, he becomes close friends with Shin, Twelfth Master and AV. Under the leadership of Tornado, they resist against the invasion of villain Mr. Big in a series of fierce battles. Together, they vow to protect the safe haven that is Kowloon Walled City."
Road House,"Dalton is middleweight fighter who is going through bad times. A tragic encounter in the ring is traumatic for him and gives him suicidal thoughts. To make ends meet he takes up the job of a bouncer at ""Road house."" However things are not smooth for him since a local gangster boss wants to take over the property and keeps sending his goons to the road house to create problems. Dalton then fights them all with the help of his associates of Road house. —Madan Marwah"
When the Phone Rings,"Baek Sa Eon, a former presidential spokesman, marries Hong Hui Ju, a mute newspaper heiress, in an arranged union. When Hui Ju is kidnapped, their distant relationship is challenged as they navigate the crisis."
Argylle,"Elly Conway, an introverted spy novelist who seldom leaves her home, is drawn into the real world of espionage when the plots of her books get a little too close to the activities of a sinister underground syndicate. When Aidan, a spy, shows up to save her (he says) from being kidnapped or killed--or both, Elly and her beloved cat Alfie are plunged into a covert world where nothing and nobody is what it seems."
Don't Move,"The grieving Iris wakes up early in the morning and goes to the memorial in a park where her beloved son, Mateo, fell to his death. She is thinking of committing suicide by jumping off the same cliff, when a young man, Richard, dissuades her. She returns to the parking lot with Richard, and he kidnaps her. He injects a substance that will shut down her body in twenty minutes, but Iris succeeds in forcing him to crash his car into a tree and flees to a river. Her paralyzed body is found by an old farmer, Bill, who brings her home. When Bill is going to call the police, Richard arrives at his farmhouse. The numb Iris is hidden behind the couch while Richard has an argument with Bill, then subdues him. What will happen to Bill and Iris? —Claudio Carvalho, Rio de Janeiro, Brazil"
Azrael,"Many years following the apocalypse, a devout female-led cult of mute zealots hunts down Azrael, a young woman who has escaped her imprisonment. Recaptured by its ruthless leaders, Azrael is to be sacrificed to pacify an ancient evil that resides deep within the surrounding wilderness - yet she will stop at nothing to ensure her own survival. Azrael makes a savage bid for freedom as her escape accelerates towards a vicious showdown between the very forces of good and evil. —Azrael movie"
The Union,"Construction worker Mike is thrust into the world of espionage when his high school sweetheart, Roxanne, recruits him for a high-stakes intelligence mission."
